Ticket_ID,Category,Priority,Channel,Agent,Customer_Type,Time_Open_Hour,Resolution_Time_Hours
1,Account,Low,Phone,Agent_D,New,17,60.9
2,General,Medium,Chat,Agent_B,Returning,4,53.5
3,Billing,High,Chat,Agent_B,New,14,40.5
4,Account,Medium,Phone,Agent_A,New,16,52.7
5,Account,Low,Phone,Agent_A,New,2,65.6
6,General,Medium,Phone,Agent_D,New,11,55.0
7,Billing,High,Chat,Agent_A,Returning,1,41.2
8,Billing,Medium,Phone,Agent_A,New,0,51.0
9,Account,Medium,Phone,Agent_B,New,22,49.6
10,Technical,Low,Email,Agent_C,Returning,20,41.2
11,Account,Medium,Email,Agent_A,Returning,16,49.0
12,Account,High,Chat,Agent_C,New,21,30.2
13,Account,Low,Phone,Agent_A,Returning,15,62.0
14,Account,Medium,Phone,Agent_A,New,4,56.0
15,General,High,Email,Agent_D,New,14,29.2
16,Billing,Medium,Chat,Agent_D,New,2,43.1
17,General,Medium,Email,Agent_D,New,6,43.1
18,General,Medium,Email,Agent_C,Returning,10,41.6
19,General,Medium,Email,Agent_B,New,9,38.9
20,Account,Low,Email,Agent_A,Returning,8,48.9
21,Technical,High,Phone,Agent_A,Returning,13,37.0
22,Billing,High,Phone,Agent_A,Returning,12,42.7
23,Technical,High,Email,Agent_C,Returning,1,31.8
24,General,High,Chat,Agent_D,New,2,38.8
25,General,Medium,Chat,Agent_B,Returning,6,42.2
26,Technical,Medium,Chat,Agent_C,New,20,38.8
27,Technical,Medium,Chat,Agent_D,Returning,17,38.6
28,Technical,Medium,Email,Agent_C,Returning,2,40.4
29,General,Medium,Phone,Agent_B,New,9,53.0
30,General,Medium,Chat,Agent_D,New,21,61.7
31,Billing,High,Email,Agent_C,New,6,27.2
32,Billing,Medium,Chat,Agent_B,Returning,8,48.3
33,General,Medium,Chat,Agent_A,Returning,16,55.8
34,Technical,Low,Email,Agent_B,New,10,63.7
35,Technical,Medium,Phone,Agent_A,New,6,54.3
36,Billing,Low,Phone,Agent_C,New,23,67.0
37,General,Medium,Email,Agent_D,New,13,45.0
38,Billing,Medium,Phone,Agent_D,Returning,18,39.1
39,Billing,Low,Email,Agent_C,New,3,41.8
40,Account,Medium,Email,Agent_D,New,5,44.8
41,Account,Low,Email,Agent_D,New,9,45.7
42,Account,Low,Phone,Agent_A,New,6,48.1
43,Technical,High,Email,Agent_C,Returning,12,35.8
44,General,Medium,Chat,Agent_B,New,13,48.0
45,General,Low,Phone,Agent_A,Returning,3,50.6
46,General,Medium,Phone,Agent_C,New,7,54.1
47,General,Medium,Phone,Agent_A,New,4,47.6
48,Account,Low,Phone,Agent_B,Returning,0,47.0
49,Technical,Medium,Chat,Agent_B,New,3,39.3
50,Technical,Low,Phone,Agent_C,Returning,2,58.6
51,Account,Low,Phone,Agent_B,Returning,8,53.9
52,Technical,Medium,Email,Agent_A,New,7,47.5
53,Account,Medium,Phone,Agent_B,Returning,0,51.6
54,General,Medium,Chat,Agent_A,Returning,5,54.5
55,Account,Medium,Chat,Agent_A,Returning,8,50.4
56,General,High,Chat,Agent_B,Returning,6,28.4
57,General,Medium,Chat,Agent_C,Returning,3,58.6
58,Billing,Medium,Phone,Agent_D,Returning,12,57.8
59,Account,Medium,Phone,Agent_B,Returning,16,46.8
60,Billing,Low,Chat,Agent_A,Returning,1,52.8
61,Account,Medium,Chat,Agent_A,New,4,42.9
62,Account,Low,Phone,Agent_B,New,11,51.4
63,Billing,Low,Chat,Agent_C,Returning,20,51.6
64,Billing,High,Email,Agent_C,New,7,22.8
65,Account,High,Chat,Agent_A,Returning,5,23.8
66,Technical,Medium,Chat,Agent_A,Returning,7,44.2
67,General,Medium,Email,Agent_C,New,17,49.3
68,Billing,Low,Email,Agent_D,Returning,2,58.0
69,General,Low,Phone,Agent_B,Returning,21,55.3
70,Technical,Low,Phone,Agent_A,Returning,11,55.3
71,Technical,Medium,Email,Agent_A,Returning,2,48.0
72,Technical,Medium,Email,Agent_C,New,21,42.8
73,Billing,Medium,Phone,Agent_B,Returning,5,43.7
74,Technical,Low,Chat,Agent_C,Returning,1,55.0
75,Billing,High,Email,Agent_B,Returning,22,31.1
76,Technical,Medium,Phone,Agent_B,New,11,47.7
77,General,Medium,Chat,Agent_B,Returning,1,44.8
78,General,Medium,Email,Agent_A,New,5,43.7
79,Account,Medium,Chat,Agent_D,New,16,47.3
80,General,Low,Phone,Agent_C,Returning,2,58.4
81,Account,Medium,Email,Agent_D,Returning,1,52.6
82,General,Medium,Chat,Agent_C,New,22,46.3
83,Billing,Low,Email,Agent_B,Returning,19,54.6
84,General,Low,Chat,Agent_A,New,7,46.7
85,Account,Low,Phone,Agent_D,New,21,49.2
86,Account,Low,Phone,Agent_A,Returning,11,56.4
87,Technical,High,Email,Agent_C,Returning,3,42.1
88,Billing,Medium,Chat,Agent_A,New,4,47.6
89,General,Medium,Email,Agent_A,New,12,51.5
90,Technical,Low,Email,Agent_D,New,14,56.0
91,General,Medium,Chat,Agent_B,New,22,48.4
92,General,Medium,Chat,Agent_A,Returning,15,55.3
93,Technical,Low,Chat,Agent_B,Returning,9,67.9
94,Technical,Medium,Phone,Agent_C,Returning,22,38.9
95,Technical,Medium,Email,Agent_A,Returning,15,56.0
96,Technical,Medium,Email,Agent_D,Returning,11,54.4
97,Technical,Medium,Phone,Agent_C,New,16,48.4
98,General,Low,Chat,Agent_C,Returning,15,60.5
99,Technical,Medium,Phone,Agent_D,Returning,11,50.1
100,Billing,Medium,Phone,Agent_A,Returning,7,43.7
101,Account,Medium,Phone,Agent_A,Returning,19,41.6
102,Technical,High,Email,Agent_C,Returning,2,28.5
103,Technical,Medium,Phone,Agent_A,New,15,49.4
104,General,Low,Email,Agent_B,New,12,51.6
105,Technical,Low,Email,Agent_D,New,22,62.2
106,Technical,Medium,Email,Agent_B,Returning,18,44.2
107,Technical,Low,Chat,Agent_A,New,7,61.4
108,General,Medium,Email,Agent_C,New,21,62.3
109,Technical,High,Email,Agent_D,Returning,4,38.6
110,Account,Medium,Chat,Agent_A,Returning,19,38.0
111,General,Medium,Email,Agent_A,Returning,7,50.4
112,Account,Medium,Phone,Agent_C,New,23,55.2
113,General,Medium,Phone,Agent_C,New,11,41.0
114,Technical,Medium,Email,Agent_B,Returning,0,48.5
115,Account,High,Chat,Agent_D,Returning,20,34.2
116,General,Medium,Phone,Agent_D,New,19,52.6
117,Billing,High,Chat,Agent_C,New,5,40.6
118,Technical,High,Chat,Agent_B,Returning,21,31.6
119,General,Low,Phone,Agent_D,Returning,17,51.7
120,Billing,Low,Chat,Agent_C,New,7,55.5
121,General,Low,Phone,Agent_A,Returning,6,56.5
122,Billing,Low,Chat,Agent_D,New,0,61.4
123,Technical,Low,Phone,Agent_B,New,20,49.2
124,Account,Medium,Email,Agent_B,New,15,55.6
125,Billing,Low,Phone,Agent_B,New,11,51.1
126,General,Medium,Phone,Agent_A,Returning,5,50.3
127,Technical,High,Phone,Agent_D,Returning,19,35.0
128,Billing,Low,Phone,Agent_D,New,1,50.3
129,General,High,Chat,Agent_A,New,13,35.8
130,General,Low,Email,Agent_D,New,3,62.0
131,General,Low,Phone,Agent_A,New,0,50.6
132,Billing,Medium,Chat,Agent_A,New,22,37.3
133,Billing,Medium,Email,Agent_A,Returning,17,47.3
134,Billing,High,Email,Agent_B,Returning,12,34.5
135,Account,Medium,Email,Agent_D,Returning,1,54.3
136,Billing,High,Email,Agent_A,Returning,8,27.6
137,Billing,Low,Phone,Agent_D,New,20,47.3
138,Billing,Low,Phone,Agent_B,New,1,54.2
139,Account,Medium,Chat,Agent_A,New,8,43.5
140,Billing,High,Chat,Agent_C,New,0,36.0
141,General,High,Chat,Agent_B,New,10,40.7
142,Billing,Medium,Email,Agent_C,Returning,2,54.5
143,General,Medium,Email,Agent_D,New,19,46.1
144,General,Medium,Phone,Agent_D,Returning,22,42.7
145,General,Medium,Email,Agent_B,Returning,3,47.5
146,Account,High,Email,Agent_D,Returning,17,32.5
147,Account,High,Email,Agent_C,Returning,22,38.1
148,Account,Medium,Chat,Agent_A,New,5,50.3
149,Billing,Medium,Chat,Agent_A,Returning,2,40.8
150,General,Medium,Phone,Agent_A,Returning,21,41.6
151,Account,Low,Email,Agent_B,Returning,10,51.5
152,Account,High,Email,Agent_D,New,14,33.3
153,Billing,Medium,Phone,Agent_C,New,21,46.7
154,Account,High,Email,Agent_D,New,4,32.1
155,Billing,Medium,Email,Agent_D,Returning,19,55.9
156,Technical,High,Chat,Agent_D,Returning,9,35.0
157,Account,Medium,Phone,Agent_A,New,11,47.1
158,Technical,Low,Phone,Agent_C,Returning,14,48.5
159,Billing,High,Phone,Agent_C,New,16,32.8
160,General,Low,Phone,Agent_D,New,9,48.7
161,Account,Medium,Chat,Agent_A,Returning,5,47.6
162,Billing,High,Chat,Agent_A,Returning,17,43.5
163,General,High,Email,Agent_C,Returning,12,51.9
164,General,Medium,Email,Agent_A,Returning,2,38.6
165,Technical,Medium,Email,Agent_A,New,23,56.1
166,Billing,Medium,Email,Agent_A,New,9,33.7
167,General,Low,Chat,Agent_B,New,13,62.1
168,Account,Medium,Phone,Agent_D,New,5,48.8
169,Account,Medium,Chat,Agent_C,New,2,44.9
170,Technical,Medium,Email,Agent_C,Returning,15,44.5
171,General,Medium,Chat,Agent_B,New,6,51.1
172,Billing,Medium,Phone,Agent_D,New,19,48.9
173,Account,Low,Phone,Agent_C,New,13,63.0
174,General,Medium,Chat,Agent_A,Returning,8,42.9
175,General,Low,Chat,Agent_C,Returning,14,57.5
176,Technical,Medium,Chat,Agent_A,Returning,20,54.7
177,Account,Medium,Email,Agent_B,Returning,2,43.1
178,Account,High,Chat,Agent_A,New,1,44.5
179,Billing,Medium,Chat,Agent_C,New,1,50.9
180,Account,Low,Chat,Agent_C,Returning,2,61.1
181,Billing,Low,Phone,Agent_C,Returning,17,55.8
182,Account,Medium,Phone,Agent_B,New,13,42.9
183,Technical,Medium,Email,Agent_B,New,19,43.1
184,Account,Low,Email,Agent_D,Returning,17,46.5
185,Billing,Low,Phone,Agent_C,Returning,9,48.0
186,Billing,Medium,Phone,Agent_A,Returning,1,50.0
187,Technical,Low,Phone,Agent_B,Returning,21,58.7
188,Account,High,Chat,Agent_C,New,0,36.0
189,Account,Medium,Chat,Agent_C,New,3,43.2
190,Technical,Low,Phone,Agent_B,New,13,56.8
191,Account,Low,Chat,Agent_D,Returning,0,54.5
192,Account,High,Chat,Agent_B,Returning,13,39.9
193,Billing,Medium,Email,Agent_B,New,15,49.4
194,Account,Medium,Phone,Agent_A,New,21,44.2
195,Account,High,Phone,Agent_A,New,13,33.6
196,Technical,High,Chat,Agent_D,New,19,36.6
197,Technical,High,Phone,Agent_C,Returning,2,26.5
198,General,Medium,Email,Agent_B,New,2,47.3
199,Billing,Medium,Email,Agent_D,New,8,47.4
200,Account,Low,Email,Agent_A,New,5,63.1
201,Account,Medium,Phone,Agent_B,New,12,51.7
202,General,Medium,Phone,Agent_C,New,20,54.3
203,Account,Medium,Phone,Agent_A,New,1,50.2
204,Billing,High,Phone,Agent_A,New,7,27.1
205,General,Low,Phone,Agent_A,Returning,20,50.8
206,Billing,Medium,Email,Agent_D,Returning,1,42.4
207,General,Low,Chat,Agent_C,Returning,3,58.1
208,General,Medium,Email,Agent_B,Returning,14,50.8
209,Technical,Low,Phone,Agent_D,New,3,50.5
210,Billing,Low,Email,Agent_D,Returning,12,49.9
211,Account,Low,Phone,Agent_D,Returning,11,48.3
212,Account,Medium,Phone,Agent_A,New,12,42.5
213,Billing,Medium,Email,Agent_C,New,13,51.3
214,Account,Medium,Phone,Agent_D,Returning,19,44.9
215,Account,High,Chat,Agent_B,Returning,17,30.7
216,Billing,Medium,Phone,Agent_C,New,5,43.4
217,General,Low,Chat,Agent_B,Returning,10,48.7
218,Billing,High,Chat,Agent_C,New,1,40.1
219,General,Low,Phone,Agent_B,New,22,49.8
220,Account,High,Email,Agent_A,New,18,39.0
221,Account,Low,Chat,Agent_D,New,18,54.3
222,Account,High,Email,Agent_B,Returning,4,43.3
223,Technical,Low,Chat,Agent_C,New,18,61.4
224,General,High,Phone,Agent_D,New,1,36.3
225,Technical,Medium,Phone,Agent_D,Returning,9,55.0
226,Technical,High,Chat,Agent_C,New,1,32.0
227,Billing,Low,Phone,Agent_B,Returning,10,65.1
228,Technical,Medium,Chat,Agent_A,Returning,17,45.4
229,Billing,High,Phone,Agent_A,Returning,23,27.7
230,Billing,Medium,Email,Agent_B,New,14,41.7
231,Technical,Medium,Phone,Agent_D,Returning,8,39.2
232,General,Medium,Email,Agent_D,Returning,22,35.8
233,General,Medium,Phone,Agent_D,New,18,52.9
234,General,Medium,Email,Agent_D,Returning,8,48.3
235,General,Medium,Phone,Agent_B,Returning,2,37.4
236,General,High,Email,Agent_D,Returning,20,42.2
237,Technical,Low,Chat,Agent_C,Returning,8,65.0
238,Technical,Low,Chat,Agent_D,Returning,13,50.9
239,Account,High,Email,Agent_A,New,18,33.2
240,General,High,Phone,Agent_D,Returning,6,37.6
241,Technical,Medium,Email,Agent_B,Returning,15,54.8
242,Account,Medium,Phone,Agent_A,New,15,50.5
243,General,Low,Chat,Agent_B,New,0,45.0
244,Billing,Low,Phone,Agent_B,New,3,62.8
245,Account,Medium,Chat,Agent_A,Returning,3,59.0
246,Technical,Medium,Phone,Agent_B,New,6,55.3
247,Billing,Medium,Phone,Agent_B,Returning,7,59.6
248,Billing,Low,Phone,Agent_D,Returning,16,60.2
249,Billing,High,Email,Agent_C,New,4,32.1
250,Account,High,Email,Agent_B,New,6,36.2
251,Technical,Medium,Chat,Agent_B,Returning,19,38.1
252,Billing,Medium,Chat,Agent_B,New,19,55.8
253,General,Medium,Email,Agent_D,Returning,3,46.4
254,Billing,High,Chat,Agent_C,New,5,32.5
255,Billing,Medium,Email,Agent_A,New,6,44.0
256,Account,Low,Phone,Agent_D,New,17,49.2
257,Account,High,Chat,Agent_D,Returning,4,33.7
258,Technical,High,Chat,Agent_C,New,19,30.1
259,General,High,Email,Agent_C,Returning,2,43.0
260,Account,Medium,Chat,Agent_D,Returning,6,51.4
261,Billing,Medium,Chat,Agent_A,Returning,21,49.9
262,Technical,Medium,Phone,Agent_D,Returning,13,40.7
263,Billing,High,Chat,Agent_C,New,6,42.9
264,Billing,High,Phone,Agent_A,Returning,4,31.1
265,Account,Low,Email,Agent_C,Returning,21,56.4
266,Technical,Low,Chat,Agent_A,New,4,65.2
267,General,Medium,Phone,Agent_B,Returning,22,50.5
268,General,High,Email,Agent_C,New,1,30.0
269,Account,High,Chat,Agent_C,Returning,20,42.2
270,Account,Low,Email,Agent_D,New,21,53.1
271,Technical,Medium,Chat,Agent_C,Returning,5,48.7
272,General,Medium,Email,Agent_C,New,14,43.8
273,General,High,Email,Agent_B,Returning,20,35.3
274,General,High,Phone,Agent_C,Returning,9,38.1
275,Billing,High,Email,Agent_B,New,22,36.2
276,General,Medium,Chat,Agent_B,New,23,50.4
277,Billing,Medium,Chat,Agent_B,New,6,43.6
278,Technical,Low,Phone,Agent_B,New,4,52.9
279,Billing,Low,Chat,Agent_A,Returning,0,60.6
280,Technical,High,Chat,Agent_D,Returning,12,34.2
281,General,High,Chat,Agent_A,New,20,36.5
282,General,High,Email,Agent_C,Returning,17,41.5
283,Technical,High,Email,Agent_A,New,12,35.9
284,Account,Medium,Chat,Agent_A,New,20,55.3
285,Technical,Medium,Phone,Agent_C,Returning,20,40.7
286,Account,High,Email,Agent_C,Returning,17,32.2
287,Billing,High,Phone,Agent_C,Returning,4,43.6
288,Billing,Low,Chat,Agent_A,Returning,12,49.5
289,Billing,Medium,Chat,Agent_A,Returning,3,45.7
290,General,Low,Email,Agent_C,Returning,16,40.4
291,Billing,High,Chat,Agent_D,Returning,2,39.2
292,Account,Medium,Email,Agent_D,New,16,48.0
293,Billing,Low,Chat,Agent_B,New,10,65.4
294,Technical,Medium,Chat,Agent_C,New,20,47.8
295,Technical,Medium,Email,Agent_B,New,19,44.4
296,General,Medium,Email,Agent_D,New,22,39.9
297,Technical,Low,Email,Agent_B,Returning,20,44.1
298,Account,Medium,Chat,Agent_C,New,3,24.9
299,Billing,Medium,Chat,Agent_C,New,1,43.5
300,General,Medium,Phone,Agent_C,New,19,57.5
301,Billing,Medium,Email,Agent_A,New,15,36.5
302,Billing,High,Chat,Agent_B,New,17,25.2
303,Account,Medium,Chat,Agent_D,New,7,47.2
304,Technical,Medium,Email,Agent_D,New,2,54.6
305,Technical,High,Phone,Agent_D,Returning,8,35.1
306,Billing,Medium,Email,Agent_A,Returning,19,55.4
307,General,Low,Phone,Agent_A,New,5,59.9
308,Technical,Low,Chat,Agent_C,Returning,9,42.5
309,General,Medium,Phone,Agent_D,Returning,20,37.9
310,Technical,Medium,Chat,Agent_A,Returning,9,50.4
311,General,Medium,Email,Agent_C,Returning,12,45.9
312,Account,Low,Email,Agent_D,New,16,64.9
313,General,Low,Email,Agent_B,Returning,8,60.5
314,Account,Low,Phone,Agent_C,Returning,16,50.4
315,Account,Medium,Chat,Agent_A,Returning,23,58.4
316,General,Medium,Email,Agent_A,New,8,42.1
317,Account,Medium,Email,Agent_C,New,8,49.7
318,Billing,Medium,Chat,Agent_C,New,0,42.9
319,Account,High,Email,Agent_A,New,1,37.5
320,Technical,Medium,Chat,Agent_B,New,15,44.0
321,General,Medium,Chat,Agent_D,New,0,47.4
322,Billing,Medium,Chat,Agent_B,New,9,48.6
323,General,Medium,Chat,Agent_C,Returning,17,47.5
324,Technical,Medium,Chat,Agent_B,Returning,7,49.9
325,Technical,High,Phone,Agent_A,Returning,20,37.2
326,Technical,High,Email,Agent_C,New,10,31.8
327,Account,Low,Phone,Agent_D,New,22,55.1
328,Account,High,Email,Agent_A,New,1,39.1
329,General,Medium,Phone,Agent_A,New,7,45.1
330,General,Low,Chat,Agent_D,New,21,60.4
331,Billing,Medium,Email,Agent_D,Returning,7,46.4
332,Billing,High,Email,Agent_B,Returning,16,41.7
333,General,Medium,Phone,Agent_C,New,14,52.3
334,Account,Medium,Phone,Agent_D,New,16,49.0
335,Technical,Medium,Email,Agent_D,New,22,47.6
336,General,Low,Phone,Agent_C,New,23,59.3
337,Billing,Low,Phone,Agent_D,Returning,12,65.8
338,Account,Low,Phone,Agent_D,New,18,40.0
339,General,Low,Chat,Agent_B,New,4,54.6
340,General,Low,Chat,Agent_A,New,11,54.2
341,Account,Low,Phone,Agent_A,New,0,60.9
342,General,Medium,Phone,Agent_A,Returning,22,65.9
343,Account,Low,Chat,Agent_A,New,4,58.4
344,Technical,Medium,Chat,Agent_D,New,7,56.3
345,Account,High,Email,Agent_C,Returning,12,43.6
346,Account,Medium,Email,Agent_C,Returning,7,47.8
347,Account,Medium,Chat,Agent_B,Returning,22,57.8
348,General,Low,Phone,Agent_B,New,10,48.7
349,General,Low,Phone,Agent_D,New,0,69.5
350,Account,Low,Phone,Agent_C,Returning,12,65.2
351,General,Low,Phone,Agent_C,Returning,18,45.4
352,Billing,Low,Email,Agent_A,Returning,23,63.5
353,Billing,Low,Chat,Agent_D,Returning,2,47.3
354,General,Low,Phone,Agent_D,Returning,23,52.2
355,General,Low,Email,Agent_A,Returning,16,61.6
356,Account,Medium,Phone,Agent_D,New,4,49.6
357,Technical,Low,Chat,Agent_D,New,19,65.7
358,General,Medium,Email,Agent_B,New,20,51.5
359,Billing,Medium,Chat,Agent_C,Returning,7,51.7
360,Account,Medium,Chat,Agent_D,Returning,13,64.0
361,General,Low,Email,Agent_B,Returning,3,45.9
362,Billing,Medium,Email,Agent_C,Returning,10,56.6
363,Billing,Medium,Email,Agent_A,Returning,19,58.0
364,Technical,Low,Email,Agent_B,Returning,14,52.1
365,Account,High,Email,Agent_B,New,18,37.9
366,Account,High,Email,Agent_C,New,6,37.3
367,Technical,Low,Email,Agent_A,Returning,18,58.7
368,Technical,Low,Phone,Agent_B,New,18,51.2
369,Account,High,Chat,Agent_D,Returning,10,33.4
370,Account,Medium,Email,Agent_D,New,4,41.3
371,General,Low,Phone,Agent_D,Returning,4,50.7
372,General,Low,Phone,Agent_A,Returning,21,53.0
373,Technical,Medium,Phone,Agent_B,New,7,44.4
374,General,Medium,Chat,Agent_D,New,9,40.8
375,Billing,Medium,Email,Agent_A,Returning,5,52.1
376,General,Medium,Phone,Agent_D,Returning,14,54.0
377,General,Medium,Chat,Agent_C,New,15,46.9
378,Billing,Medium,Chat,Agent_B,New,16,46.8
379,Technical,Low,Chat,Agent_B,Returning,7,63.7
380,Billing,Low,Phone,Agent_A,New,7,44.0
381,General,Medium,Email,Agent_A,Returning,8,46.5
382,Technical,High,Phone,Agent_B,Returning,1,35.9
383,General,Medium,Phone,Agent_D,Returning,14,48.1
384,Billing,Medium,Email,Agent_D,Returning,17,48.3
385,Billing,Low,Email,Agent_C,New,2,54.1
386,General,Medium,Email,Agent_D,New,16,32.6
387,Account,Medium,Chat,Agent_A,New,3,49.8
388,Account,Low,Email,Agent_A,New,3,57.5
389,Billing,Low,Phone,Agent_D,New,13,54.1
390,Billing,Medium,Email,Agent_A,New,8,51.3
391,Account,Low,Phone,Agent_B,New,8,57.2
392,Account,Medium,Chat,Agent_B,Returning,22,45.5
393,General,Low,Phone,Agent_D,New,17,60.9
394,General,Medium,Phone,Agent_B,New,9,46.8
395,Account,Low,Email,Agent_B,Returning,20,49.9
396,General,High,Email,Agent_C,New,3,27.0
397,General,Medium,Phone,Agent_C,New,11,45.4
398,Technical,Medium,Email,Agent_B,Returning,7,56.8
399,General,Medium,Chat,Agent_D,New,1,47.6
400,Billing,Medium,Chat,Agent_C,New,21,45.6
401,General,Low,Email,Agent_A,New,12,50.2
402,General,Medium,Chat,Agent_A,Returning,20,49.1
403,Account,Medium,Email,Agent_A,New,15,46.0
404,Billing,Medium,Phone,Agent_D,New,1,54.7
405,General,Medium,Phone,Agent_B,Returning,10,55.1
406,General,Low,Chat,Agent_A,New,9,63.8
407,Technical,Low,Email,Agent_D,Returning,14,49.2
408,General,Medium,Email,Agent_C,Returning,16,46.0
409,General,Medium,Chat,Agent_B,New,7,40.8
410,Technical,Medium,Phone,Agent_C,Returning,17,44.4
411,Account,Medium,Chat,Agent_D,Returning,22,47.0
412,General,High,Phone,Agent_A,New,8,29.0
413,Technical,Medium,Email,Agent_A,Returning,7,52.7
414,Billing,Low,Phone,Agent_D,Returning,13,53.3
415,Account,Low,Chat,Agent_A,New,17,57.2
416,Billing,Low,Email,Agent_B,New,21,50.6
417,Billing,Low,Chat,Agent_D,New,19,36.4
418,Technical,Low,Chat,Agent_C,Returning,19,55.2
419,General,Low,Phone,Agent_D,New,20,45.8
420,Technical,Low,Chat,Agent_B,Returning,11,65.5
421,Technical,Low,Phone,Agent_B,Returning,18,59.3
422,Technical,High,Email,Agent_D,Returning,13,33.5
423,Technical,Low,Phone,Agent_D,Returning,16,45.7
424,Account,Medium,Email,Agent_A,Returning,23,52.2
425,General,Medium,Phone,Agent_B,Returning,20,45.2
426,Billing,High,Chat,Agent_D,Returning,2,31.4
427,Billing,Low,Phone,Agent_D,New,22,50.8
428,General,Medium,Phone,Agent_B,New,6,55.7
429,Billing,High,Email,Agent_D,Returning,16,40.4
430,General,High,Chat,Agent_A,Returning,11,33.6
431,Billing,High,Phone,Agent_B,New,8,33.4
432,Technical,Low,Chat,Agent_A,Returning,14,56.1
433,Billing,Low,Phone,Agent_A,New,17,57.3
434,General,Medium,Phone,Agent_A,New,20,56.2
435,General,High,Chat,Agent_A,New,12,39.1
436,General,Medium,Phone,Agent_B,Returning,20,37.7
437,General,Medium,Chat,Agent_A,Returning,7,39.1
438,General,Low,Phone,Agent_A,New,13,62.1
439,Account,Medium,Email,Agent_D,New,7,47.9
440,Account,Low,Chat,Agent_B,New,13,55.7
441,Billing,Medium,Phone,Agent_B,New,6,51.2
442,General,Medium,Phone,Agent_C,New,22,45.6
443,Billing,Medium,Email,Agent_B,Returning,11,37.9
444,General,Low,Chat,Agent_B,New,10,65.2
445,General,Low,Phone,Agent_C,Returning,21,61.1
446,Account,Medium,Email,Agent_B,New,21,42.3
447,Account,Low,Phone,Agent_B,Returning,10,62.9
448,Technical,Medium,Chat,Agent_B,Returning,21,50.3
449,Account,Low,Phone,Agent_B,Returning,12,55.7
450,Technical,Medium,Phone,Agent_C,Returning,17,39.6
451,Technical,Medium,Phone,Agent_B,Returning,1,51.7
452,Technical,Low,Phone,Agent_B,Returning,20,60.5
453,Technical,Medium,Email,Agent_C,New,14,46.1
454,Technical,Low,Email,Agent_D,Returning,19,43.3
455,Billing,Low,Chat,Agent_A,New,17,40.7
456,Account,High,Email,Agent_D,Returning,14,41.7
457,Technical,Medium,Email,Agent_C,Returning,18,49.7
458,General,High,Chat,Agent_A,New,22,33.4
459,Account,Low,Email,Agent_C,Returning,23,47.0
460,Account,Medium,Email,Agent_C,New,11,52.3
461,Technical,Medium,Chat,Agent_B,New,12,47.3
462,Billing,Medium,Chat,Agent_A,New,21,49.8
463,Technical,Medium,Chat,Agent_B,New,10,42.2
464,Billing,Medium,Phone,Agent_A,Returning,4,51.9
465,General,Medium,Phone,Agent_C,Returning,0,40.9
466,Account,High,Chat,Agent_C,New,23,42.9
467,General,High,Chat,Agent_D,Returning,2,37.9
468,Billing,High,Chat,Agent_A,Returning,21,44.0
469,Billing,Low,Phone,Agent_B,New,18,58.5
470,General,Medium,Phone,Agent_D,Returning,22,40.8
471,Billing,High,Email,Agent_D,New,6,52.7
472,General,Low,Email,Agent_D,New,11,57.1
473,Account,Low,Chat,Agent_B,Returning,14,61.4
474,General,Medium,Phone,Agent_D,Returning,4,37.0
475,Account,Medium,Phone,Agent_B,Returning,14,48.3
476,General,High,Phone,Agent_D,New,7,40.9
477,Billing,Low,Chat,Agent_B,New,9,58.3
478,General,Medium,Email,Agent_C,Returning,15,55.0
479,Billing,Low,Chat,Agent_C,Returning,7,43.0
480,General,Low,Email,Agent_C,Returning,0,51.8
481,General,Low,Email,Agent_C,Returning,11,55.8
482,Technical,High,Chat,Agent_C,New,4,50.0
483,Billing,Medium,Email,Agent_D,Returning,2,43.8
484,Technical,Medium,Email,Agent_D,New,0,55.7
485,Billing,Medium,Phone,Agent_D,New,3,43.2
486,Technical,High,Email,Agent_B,Returning,7,29.0
487,Account,Medium,Chat,Agent_B,Returning,2,39.5
488,General,High,Chat,Agent_B,Returning,9,33.3
489,Billing,Medium,Email,Agent_B,New,1,54.3
490,Billing,Medium,Phone,Agent_C,Returning,10,44.1
491,General,Medium,Phone,Agent_C,Returning,9,58.5
492,Billing,Medium,Email,Agent_C,New,20,49.1
493,Billing,Medium,Email,Agent_A,Returning,13,52.5
494,Technical,Medium,Chat,Agent_D,New,6,51.1
495,Billing,Low,Email,Agent_B,Returning,1,63.8
496,Account,High,Phone,Agent_B,New,8,32.9
497,Account,Medium,Email,Agent_C,Returning,15,55.9
498,General,Medium,Chat,Agent_B,Returning,12,45.4
499,Billing,High,Chat,Agent_B,New,8,49.0
500,General,Medium,Chat,Agent_D,New,19,39.9
